@relation 'table_train-weka.filters.unsupervised.attribute.Remove-R1-2,6-11,14'

@attribute u numeric
@attribute g numeric
@attribute r numeric
@attribute class {STAR,GALAXY,QSO}
@attribute redshift numeric

@data
-0.831242,-0.56819,-0.432747,STAR,-0.36809
1.001707,0.036219,-0.358741,GALAXY,-0.155361
-0.38282,-0.204733,-0.082413,STAR,-0.367943
0.342563,-0.477836,-0.802796,GALAXY,-0.246627
0.595391,0.573964,0.537713,GALAXY,-0.3187
-1.095449,-0.632822,-0.320325,STAR,-0.366284
0.525041,0.335638,0.106123,GALAXY,-0.028572
0.163266,0.343514,0.42015,STAR,-0.367201
-0.924084,-1.379825,-1.520241,GALAXY,-0.19413
1.17201,0.300287,-0.06007,GALAXY,-0.167286
0.502042,0.707747,0.752236,STAR,-0.368965
-1.28017,-1.933141,-2.092979,GALAXY,-0.19262
0.876992,0.782179,0.641707,GALAXY,-0.159831
-0.425962,-0.640422,-0.601577,STAR,-0.36806
0.385838,1.238509,1.011644,QSO,0.053891
0.079814,0.445432,0.637875,STAR,-0.368562
-2.096767,-1.81833,-1.516682,STAR,-0.368017
-0.775551,-0.653091,-0.614627,GALAXY,-0.259671
-0.293172,-0.232792,-0.154612,STAR,-0.36801
-0.878953,-0.916363,-0.947654,GALAXY,-0.241758
0.432597,0.568597,0.633704,GALAXY,-0.186513
1.112486,1.109074,1.289044,STAR,-0.36697
0.710968,-0.129811,-0.416994,GALAXY,-0.238998
0.899184,0.650225,0.270848,GALAXY,-0.033374
-0.965949,-0.530171,-0.280403,GALAXY,-0.179762
0.674455,1.857532,2.06205,QSO,3.325561
-2.85982,-3.028794,-2.915557,GALAXY,-0.319539
0.168426,0.456135,0.665933,GALAXY,-0.226218
-0.651499,-0.90432,-0.987152,GALAXY,-0.311853
0.918206,0.205809,-0.23776,GALAXY,-0.115311
-1.021676,-0.938991,-0.798418,GALAXY,-0.22975
0.815961,0.766459,0.716598,GALAXY,-0.284683
0.713752,0.741036,0.785285,STAR,-0.366472
1.1652,0.893748,0.565036,GALAXY,-0.084264
0.78063,0.824088,0.775172,GALAXY,-0.119026
0.879198,0.561135,0.212924,GALAXY,-0.016189
-0.089887,0.11385,0.230051,GALAXY,-0.299443
1.019234,0.573348,0.44431,STAR,-0.366283
-0.814257,-0.746134,-0.687522,STAR,-0.36737
0.545462,0.188846,-0.222036,GALAXY,-0.016325
1.059302,0.208052,-0.416976,GALAXY,0.029118
1.069693,0.40059,-0.158755,GALAXY,-0.03867
-0.054556,0.336786,0.52632,STAR,-0.367766
-0.43563,-0.04491,-0.435684,STAR,-0.371441
-0.677452,0.590523,0.771369,QSO,0.133349
-1.168679,-0.959058,-0.780095,STAR,-0.368228
0.475558,0.289106,0.060025,GALAXY,-0.168554
0.915193,0.96276,0.900032,GALAXY,-0.246919
-0.345873,-0.540215,-0.706616,GALAXY,-0.180357
0.873219,-0.534911,-1.013412,STAR,-0.367852
1.129905,0.394011,0.028605,GALAXY,-0.143691
-0.439379,-0.044548,0.083375,STAR,-0.369496
-1.078549,-0.585897,-0.264698,STAR,-0.368888
-0.000046,-0.070248,-0.055541,STAR,-0.36847
0.512047,0.513944,0.497386,GALAXY,-0.218793
0.562253,0.333459,0.069855,GALAXY,-0.053778
0.817878,0.990989,1.070293,STAR,-0.368754
1.046922,1.14874,1.463119,STAR,-0.367789
0.3108,0.343971,0.266159,GALAXY,-0.037506
-0.087283,0.307706,0.402609,GALAXY,-0.073514
-1.180227,-0.950055,-0.777572,GALAXY,-0.300477
0.77048,0.626682,0.545838,GALAXY,-0.19328
-0.222497,0.161647,0.382902,STAR,-0.367345
1.034868,0.823897,0.748837,STAR,-0.367748
-0.167662,-0.987107,-1.27475,GALAXY,-0.159757
0.594571,0.641031,0.650417,GALAXY,-0.276774
-0.669135,0.149934,0.827768,STAR,-0.36808
-0.229645,0.046582,0.263344,STAR,-0.367494
-0.322186,0.045508,0.324554,STAR,-0.368031
-1.121149,-0.613872,-0.295299,STAR,-0.367862
0.416118,0.2437,0.231529,STAR,-0.367204
0.438564,-0.310371,-0.639983,GALAXY,-0.184794
1.151627,0.590981,0.259606,GALAXY,-0.209975
0.523004,0.593159,0.353093,GALAXY,-0.157863
0.238003,0.093124,-0.009933,GALAXY,-0.117442
0.528393,0.841976,0.917027,STAR,-0.369613
-3.104029,-2.405658,-1.966396,STAR,-0.36786
-0.14899,-0.16513,-0.348035,GALAXY,-0.026586
0.74507,0.979968,1.070594,STAR,-0.367778
